Algorithm,Dataset,Accuracy,PreprocessingTrainTime,TrainTime,PreprocessingTestTime,PredictionTime,avgSSE,avgNumIterationKMeans
MAPIC,ArrowHead,0.53,2.65,3.66,0.54,0.02,3,2
MAPIC,BirdChicken,0.8,2.39,0.71,0.04,0.0,1,2
MAPIC,Coffee,0.96,2.22,1.26,0.05,0.01,1,3
MAPIC,Earthquakes,0.74,1346.75,192.32,6.5,0.02,6432,8
MAPIC,ECG200,0.78,4.7,11.41,0.57,0.01,41,4
MAPIC,ECG5000,0.91,27.51,58.77,42.08,0.55,174,8
MAPIC,FaceFour,0.24,44.96,4.05,0.63,0.01,118,2
MAPIC,GunPoint,0.91,2.82,4.64,0.66,0.02,2,3
MAPIC,ItalyPowerDemand,0.92,2.19,4.7,2.63,0.11,25,3
MAPIC,OliveOil,0.13,3.93,1.44,0.06,0.01,0,2
MAPIC,PhalangesOutlinesCorrect,0.65,221.42,426.13,15.35,0.11,368,8
MAPIC,Strawberry,0.87,44.22,78.6,4.24,0.05,13,6
MAPIC,Trace,0.98,7.47,12.23,0.6,0.01,6,4
MAPIC,TwoLeadECG,0.77,1.09,1.3,1.77,0.11,1,2
MAPIC,Wafer,0.94,354.83,221.67,129.15,0.73,1520,5
MAPIC,Wine,0.61,3.88,5.97,0.39,0.01,0,2
MAPIC,Worms,0.21,34.89,24.41,0.89,0.01,19,3
MAPIC,WormsTwoClass,0.68,34.98,23.33,0.89,0.01,19,3
MAPIC,Yoga,0.56,30.12,46.97,19.39,0.37,36,6
,,,,,,,,
ShapeletTransformation,ArrowHead,0.39,35.69,0.0,6.44,0.0,,
LearningShapelets,ArrowHead,0.39,43.09,0.0,0.06,0.0,,
Decision Tree with Shapelet,ArrowHead,0.39,2.65,0.0,5.07,0.0,,
ShapeletTransformation,BirdChicken,0.5,34.24,0.0,25.86,0.0,,
LearningShapelets,BirdChicken,0.5,56.15,0.0,0.04,0.0,,
Decision Tree with Shapelet,BirdChicken,0.5,2.37,0.0,0.6,0.0,,
ShapeletTransformation,Coffee,0.54,22.93,0.0,7.66,0.0,,
LearningShapelets,Coffee,0.54,32.66,0.0,0.04,0.0,,
Decision Tree with Shapelet,Coffee,0.54,2.23,0.0,0.81,0.0,,
ShapeletTransformation,Earthquakes,0.71,4654.6,0.03,2.77,0.0,,
LearningShapelets,Earthquakes,0.75,416.79,0.0,0.06,0.0,,
Decision Tree with Shapelet,Earthquakes,0.73,1335.27,0.0,25.98,0.0,,
ShapeletTransformation,ECG200,0.78,27.15,0.0,1.68,0.0,,
LearningShapelets,ECG200,0.68,31.08,0.0,0.05,0.0,,
Decision Tree with Shapelet,ECG200,0.64,4.7,0.0,2.75,0.0,,
ShapeletTransformation,ECG5000,0.9,981.99,0.02,8.83,0.0,,
LearningShapelets,ECG5000,0.91,123.38,0.0,0.37,0.0,,
Decision Tree with Shapelet,ECG5000,0.46,29.21,0.01,140.21,0.01,,
ShapeletTransformation,FaceFour,0.16,31.78,0.0,11.75,0.0,,
LearningShapelets,FaceFour,0.16,45.85,0.0,0.05,0.0,,
Decision Tree with Shapelet,FaceFour,0.16,44.98,0.0,11.62,0.0,,
ShapeletTransformation,GunPoint,0.75,19.9,0.0,3.04,0.0,,
LearningShapelets,GunPoint,0.71,28.91,0.0,0.05,0.0,,
Decision Tree with Shapelet,GunPoint,0.73,2.82,0.0,4.18,0.0,,
ShapeletTransformation,ItalyPowerDemand,0.94,0.76,0.0,0.83,0.0,,
LearningShapelets,ItalyPowerDemand,0.61,26.67,0.0,0.1,0.0,,
Decision Tree with Shapelet,ItalyPowerDemand,0.53,2.23,0.0,24.24,0.0,,
ShapeletTransformation,OliveOil,0.4,88.22,0.0,32.74,0.0,,
LearningShapelets,OliveOil,0.4,68.58,0.0,0.05,0.0,,
Decision Tree with Shapelet,OliveOil,0.4,3.91,0.0,0.91,0.0,,
ShapeletTransformation,PhalangesOutlinesCorrect,0.68,3552.22,0.03,1.71,0.0,,
LearningShapelets,PhalangesOutlinesCorrect,0.67,199.37,0.0,0.09,0.0,,
Decision Tree with Shapelet,PhalangesOutlinesCorrect,0.62,217.67,0.02,43.92,0.0,,
ShapeletTransformation,Strawberry,0.9,3821.47,0.03,6.56,0.01,,
LearningShapelets,Strawberry,0.85,236.84,0.0,0.07,0.0,,
Decision Tree with Shapelet,Strawberry,0.64,43.58,0.01,11.7,0.0,,
ShapeletTransformation,Trace,0.98,192.35,0.0,7.26,0.0,,
LearningShapelets,Trace,0.89,67.65,0.0,0.05,0.0,,
Decision Tree with Shapelet,Trace,0.66,7.56,0.0,2.92,0.0,,
ShapeletTransformation,TwoLeadECG,0.5,3.01,0.0,1.8,0.0,,
LearningShapelets,TwoLeadECG,0.5,22.81,0.0,0.1,0.0,,
Decision Tree with Shapelet,TwoLeadECG,0.5,1.09,0.0,30.73,0.0,,
ShapeletTransformation,Wafer,0.95,4140.26,0.03,12.91,0.0,,
LearningShapelets,Wafer,0.92,213.21,0.0,0.49,0.0,,
Decision Tree with Shapelet,Wafer,0.89,359.73,0.01,431.17,0.01,,
ShapeletTransformation,Wine,0.57,48.8,0.0,0.21,0.0,,
LearningShapelets,Wine,0.74,44.13,0.0,0.04,0.0,,
Decision Tree with Shapelet,Wine,0.5,3.88,0.0,1.52,0.0,,
ShapeletTransformation,Worms,0.55,4901.84,0.03,98.99,0.0,,
LearningShapelets,Worms,0.35,671.84,0.0,0.07,0.0,,
Decision Tree with Shapelet,Worms,0.38,35.06,0.0,2.51,0.0,,
ShapeletTransformation,WormsTwoClass,0.71,4772.93,0.02,4.69,0.0,,
LearningShapelets,WormsTwoClass,0.6,671.6,0.0,0.07,0.0,,
Decision Tree with Shapelet,WormsTwoClass,0.43,34.94,0.0,2.51,0.0,,
ShapeletTransformation,Yoga,0.62,2855.66,0.02,59.7,0.0,,
LearningShapelets,Yoga,0.61,294.04,0.0,0.49,0.0,,
Decision Tree with Shapelet,Yoga,0.52,30.16,0.0,94.55,0.0,,
,,,,,,,,
Algorithm,DatasetName,Accuracy,PreProcessingTrainTime,TrainTime,PredictionTime,,,
KNN,ArrowHead,0.64,0.01,0.0,0.03,,,
KNN,BirdChicken,0.45,0.01,0.0,0.02,,,
KNN,Coffee,0.89,0.01,0.0,0.01,,,
KNN,Earthquakes,0.74,0.03,0.02,0.08,,,
KNN,ECG200,0.85,0.0,0.0,0.01,,,
KNN,ECG5000,0.87,0.01,0.01,0.93,,,
KNN,FaceFour,0.68,0.01,0.0,0.02,,,
KNN,GunPoint,0.85,0.01,0.0,0.02,,,
KNN,ItalyPowerDemand,0.93,0.0,0.0,0.05,,,
KNN,OliveOil,0.83,0.01,0.01,0.02,,,
KNN,PhalangesOutlinesCorrect,0.66,0.03,0.02,0.24,,,
KNN,Strawberry,0.94,0.03,0.02,0.12,,,
KNN,Trace,0.74,0.01,0.0,0.02,,,
KNN,TwoLeadECG,0.58,0.01,0.0,0.07,,,
KNN,Wafer,0.99,0.04,0.03,1.59,,,
KNN,Wine,0.72,0.01,0.0,0.02,,,
KNN,Worms,0.35,0.04,0.02,0.07,,,
KNN,WormsTwoClass,0.61,0.04,0.02,0.07,,,
KNN,Yoga,0.79,0.03,0.02,0.87,,,
,,,,,,,,
,,,,,,,,
Algorithm,DatasetName,Accuracy,TrainTime,TestTime,,,,
Decision tree classifier,ArrowHead,0.39,0.0,0.0,,,,
Decision tree classifier,BirdChicken,0.5,0.0,0.0,,,,
Decision tree classifier,Coffee,0.54,0.0,0.0,,,,
Decision tree classifier,Earthquakes,0.68,0.06,0.01,,,,
Decision tree classifier,ECG200,0.76,0.0,0.0,,,,
Decision tree classifier,ECG5000,0.9,0.04,0.04,,,,
Decision tree classifier,FaceFour,0.16,0.0,0.0,,,,
Decision tree classifier,GunPoint,0.63,0.0,0.0,,,,
Decision tree classifier,ItalyPowerDemand,0.97,0.0,0.0,,,,
Decision tree classifier,OliveOil,0.4,0.0,0.0,,,,
Decision tree classifier,PhalangesOutlinesCorrect,0.69,0.07,0.01,,,,
Decision tree classifier,Strawberry,0.88,0.06,0.01,,,,
Decision tree classifier,Trace,0.72,0.01,0.0,,,,
Decision tree classifier,TwoLeadECG,0.5,0.0,0.01,,,,
Decision tree classifier,Wafer,0.97,0.06,0.06,,,,
Decision tree classifier,Wine,0.74,0.0,0.0,,,,
Decision tree classifier,Worms,0.29,0.07,0.01,,,,
Decision tree classifier,WormsTwoClass,0.52,0.05,0.01,,,,
Decision tree classifier,Yoga,0.6,0.05,0.08,,,,
