Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,PreProcessingTrain Time,Train Time,PreProcessingTest Time,Prediction Time
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.17,4.64,2.58,0.11
ItalyPowerDemand,Motifs,3,20,20,1,2,False,1,True,20,0.92,1.97,4.22,2.56,0.11
ItalyPowerDemand,Both,3,20,20,1,2,False,1,True,20,0.91,2.4,6.47,3.74,0.11
ItalyPowerDemand,Discords,1,20,20,1,2,False,1,True,20,0.9,2.17,3.24,1.39,0.1
ItalyPowerDemand,Discords,2,20,20,1,2,False,1,True,20,0.92,2.22,4.75,2.63,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.15,4.58,3.08,0.1
ItalyPowerDemand,Discords,4,20,20,1,2,False,1,True,20,0.92,2.16,4.63,2.57,0.1
ItalyPowerDemand,Discords,5,20,20,1,2,False,1,True,20,0.92,2.15,4.88,2.54,0.11
ItalyPowerDemand,Discords,3,5,20,1,2,False,1,True,20,0.9,2.17,4.72,3.73,0.11
ItalyPowerDemand,Discords,3,10,20,1,2,False,1,True,20,0.92,2.16,4.62,2.57,0.11
ItalyPowerDemand,Discords,3,15,20,1,2,False,1,True,20,0.92,2.19,4.7,2.61,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.92,2.44,4.59,2.54,0.11
ItalyPowerDemand,Discords,3,40,20,1,2,False,1,True,20,0.9,2.16,3.21,1.38,0.1
ItalyPowerDemand,Discords,3,80,20,1,2,False,1,True,20,0.9,2.67,3.55,1.39,0.1
ItalyPowerDemand,Discords,3,100,20,1,2,False,1,True,20,0.9,2.17,3.23,1.39,0.1
ItalyPowerDemand,Discords,3,100,20,1,2,False,1,True,20,0.9,2.19,3.21,1.39,0.1
ItalyPowerDemand,Discords,3,160,20,1,2,False,1,True,20,0.9,2.16,3.22,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,0,2,False,1,True,20,0.92,2.16,4.6,2.57,0.11
ItalyPowerDemand,Discords,3,20,20,1,1,False,1,True,20,0.94,2.07,4.25,2.66,0.11
ItalyPowerDemand,Discords,3,20,20,1,3,False,1,True,20,0.91,2.43,5.06,2.62,0.11
ItalyPowerDemand,Discords,3,20,20,1,4,False,1,True,20,0.88,2.76,7.18,3.87,0.12
ItalyPowerDemand,Discords,3,20,20,1,5,False,1,True,20,0.91,2.88,8.54,3.8,0.12
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,40,0.94,3.69,8.17,2.61,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,80,0.94,6.73,11.88,2.83,0.12
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,160,0.94,10.42,15.16,2.68,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.5,0.11,0.1,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.5,0.41,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.85,0.71,0.91,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.9,0.89,1.06,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.5,True,20,0.84,1.11,1.65,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.82,2.57,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.92,1.49,2.85,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.88,1.71,3.83,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.9,1.92,4.76,3.74,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.94,2.11,4.36,2.59,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.77,0.11,0.1,1.43,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.9,0.55,0.48,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.93,0.72,0.74,1.44,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.86,0.88,1.29,1.37,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.5,True,20,0.82,1.15,2.46,2.53,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.61,2.56,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.94,1.49,3.79,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.93,1.69,4.34,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.93,1.91,4.04,2.53,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,1,True,20,0.87,2.09,5.36,3.7,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.86,0.12,0.12,1.48,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.84,0.11,0.13,1.42,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.3,0.1,0.13,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.74,0.1,0.13,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.79,0.11,0.13,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.71,0.1,0.11,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.5,0.1,0.1,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.52,0.1,0.1,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.62,0.11,0.09,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.1,True,20,0.84,0.11,0.12,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.76,0.53,0.32,1.43,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.95,0.5,0.44,1.47,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.94,0.51,0.43,1.42,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.85,0.92,0.33,1.46,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.92,0.51,0.42,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.87,0.49,0.44,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.55,0.42,1.41,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.2,True,20,0.94,0.5,0.32,1.41,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.77,0.73,0.9,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.92,0.71,0.76,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.71,0.89,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.7,0.76,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.89,0.71,0.92,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.71,0.82,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.3,True,20,0.93,0.71,0.77,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.81,0.91,2.18,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.79,0.89,2.06,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.86,0.89,1.11,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.88,0.89,1.42,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.91,0.89,1.27,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.95,0.89,1.17,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.79,0.92,1.09,1.41,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.94,0.89,1.21,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.9,0.89,2.17,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.88,0.89,1.34,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.89,0.89,1.31,1.39,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.4,True,20,0.89,0.89,1.34,1.4,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.85,1.32,2.81,2.55,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.31,1.88,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.92,1.3,3.44,3.69,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.3,1.81,1.38,0.1
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.88,1.39,3.62,3.97,0.12
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.32,2.87,2.59,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.33,2.82,2.59,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.6,True,20,0.88,1.32,2.65,2.71,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.93,1.54,3.25,2.6,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.91,1.55,3.17,2.6,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.7,True,20,0.86,1.51,3.06,2.8,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.92,1.78,3.74,2.59,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.8,True,20,0.88,1.73,3.45,2.6,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.89,2.11,4.18,2.6,0.11
ItalyPowerDemand,Discords,3,20,20,1,2,False,0.9,True,20,0.95,1.94,5.19,3.77,0.11
ItalyPowerDemand,Discords,3,20,10,1,2,False,1,True,20,0.78,2.46,6.39,4.36,0.12
ItalyPowerDemand,Discords,3,20,15,1,2,False,1,True,20,0.84,2.41,6.05,4.15,0.12
GunPoint,Motifs,3,20,20,1,2,False,1,True,20,0.89,2.82,5.77,0.88,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.9,4.66,0.65,0.02
GunPoint,Both,3,20,20,1,2,False,1,True,20,0.76,3.15,5.85,0.65,0.02
GunPoint,Discords,1,20,20,1,2,False,1,True,20,0.91,2.89,2.75,0.25,0.02
GunPoint,Discords,2,20,20,1,2,False,1,True,20,0.91,2.86,4.7,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.85,4.68,0.65,0.02
GunPoint,Discords,4,20,20,1,2,False,1,True,20,0.91,2.99,4.74,0.65,0.02
GunPoint,Discords,5,20,20,1,2,False,1,True,20,0.91,2.87,4.62,0.66,0.02
GunPoint,Discords,3,5,20,1,2,False,1,True,20,0.87,2.83,4.91,1.06,0.02
GunPoint,Discords,3,10,20,1,2,False,1,True,20,0.91,2.87,4.66,0.66,0.02
GunPoint,Discords,3,15,20,1,2,False,1,True,20,0.91,2.85,4.69,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.84,4.68,0.66,0.02
GunPoint,Discords,3,40,20,1,2,False,1,True,20,0.91,2.85,2.69,0.24,0.02
GunPoint,Discords,3,80,20,1,2,False,1,True,20,0.91,2.85,2.71,0.24,0.02
GunPoint,Discords,3,100,20,1,2,False,1,True,20,0.91,2.9,2.73,0.26,0.02
GunPoint,Discords,3,160,20,1,2,False,1,True,20,0.91,3.33,2.71,0.24,0.02
GunPoint,Discords,3,20,20,0,2,False,1,True,20,0.91,2.84,4.65,0.66,0.02
GunPoint,Discords,3,20,5,1,2,False,1,True,20,0.58,2.87,5.75,0.66,0.02
GunPoint,Discords,3,20,10,1,2,False,1,True,20,0.54,2.85,6.47,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.86,4.82,0.68,0.02
GunPoint,Discords,3,20,40,1,2,False,1,True,20,0.87,2.89,4.22,0.45,0.02
GunPoint,Discords,3,20,80,1,2,False,1,True,20,0.81,7.47,8.93,1.06,0.02
GunPoint,Discords,3,20,20,1,1,False,1,True,20,0.81,2.65,3.99,0.66,0.02
GunPoint,Discords,3,20,20,1,3,False,1,True,20,0.91,3.16,5.58,0.69,0.02
GunPoint,Discords,3,20,20,1,4,False,1,True,20,0.91,3.27,5.59,0.69,0.02
GunPoint,Discords,3,20,20,1,5,False,1,True,20,0.91,3.69,6.01,0.65,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,5,0.81,1.98,3.04,1.13,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,10,0.85,2.18,3.02,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.85,4.74,0.67,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,40,0.91,4.29,8.43,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,80,0.91,7.13,10.09,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,160,0.91,8.01,10.22,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.55,0.19,0.1,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.55,0.18,0.07,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.39,0.18,0.1,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.53,0.19,0.1,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.51,0.19,0.09,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.44,0.2,0.09,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.51,0.19,0.09,0.26,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.48,0.18,0.08,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.57,0.18,0.09,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.1,True,20,0.36,0.18,0.1,0.27,0.03
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.52,0.51,0.34,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.5,0.33,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.54,0.5,0.33,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.63,0.5,0.38,0.26,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.9,0.52,0.34,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.75,0.5,0.37,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.63,0.52,0.31,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.2,True,20,0.75,0.5,0.31,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.49,0.94,0.55,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.59,0.92,0.46,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.79,0.92,0.55,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.79,0.92,0.59,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.91,0.92,0.52,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.75,0.94,0.58,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.3,True,20,0.69,1.01,0.54,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.69,1.21,1.0,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.79,1.19,1.02,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.77,1.2,0.97,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.81,1.19,0.99,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.86,1.19,0.82,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.4,True,20,0.89,1.18,0.98,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.5,True,20,0.86,1.47,1.28,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.5,True,20,0.9,1.45,1.18,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.5,True,20,0.74,1.46,1.12,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.5,True,20,0.76,1.5,1.38,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.5,True,20,0.69,1.46,1.31,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.89,1.74,2.46,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.79,1.88,1.74,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.79,1.73,1.63,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.91,1.78,1.64,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.77,2.06,2.01,0.26,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.9,2.1,1.99,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.75,2.26,1.95,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.8,True,20,0.73,2.34,3.78,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,0.8,True,20,0.83,2.29,3.43,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,0.9,True,20,0.91,2.57,3.48,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,0.9,True,20,0.86,2.56,3.69,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.85,4.65,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.83,4.68,0.66,0.02
ECG200,Motifs,3,20,20,1,2,False,1,True,20,0.69,4.64,11.37,0.56,0.02
ECG200,Motifs,3,20,20,1,2,False,1,True,20,0.69,4.66,11.49,0.62,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,5.23,11.69,0.57,0.02
ECG200,Both,3,20,20,1,2,False,1,True,20,0.72,5.31,13.62,0.57,0.02
ECG200,Discords,1,20,20,1,2,False,1,True,20,0.66,4.77,4.89,0.16,0.01
ECG200,Discords,2,20,20,1,2,False,1,True,20,0.77,4.73,9.46,0.43,0.02
ECG200,Discords,4,20,20,1,2,False,1,True,20,0.78,4.75,13.4,0.71,0.02
ECG200,Discords,5,20,20,1,2,False,1,True,20,0.75,4.77,14.6,0.84,0.02
ECG200,Discords,3,5,20,1,2,False,1,True,20,0.78,4.74,12.08,0.71,0.01
ECG200,Discords,3,10,20,1,2,False,1,True,20,0.78,4.75,12.01,0.71,0.02
ECG200,Discords,3,15,20,1,2,False,1,True,20,0.78,4.72,12.07,0.76,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.74,11.35,0.57,0.01
ECG200,Discords,3,40,20,1,2,False,1,True,20,0.78,4.75,11.48,0.58,0.01
ECG200,Discords,3,80,20,1,2,False,1,True,20,0.66,4.77,4.85,0.16,0.01
ECG200,Discords,3,100,20,1,2,False,1,True,20,0.66,4.76,4.88,0.16,0.01
ECG200,Discords,3,160,20,1,2,False,1,True,20,0.66,4.74,4.88,0.16,0.01
ECG200,Discords,3,20,20,0,2,False,1,True,20,0.78,4.73,11.44,0.57,0.01
ECG200,Discords,3,20,5,1,2,False,1,True,20,0.67,4.74,12.94,0.71,0.01
ECG200,Discords,3,20,10,1,2,False,1,True,20,0.77,4.72,12.53,0.57,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.76,11.49,0.58,0.01
ECG200,Discords,3,20,40,1,2,False,1,True,20,0.76,4.8,13.87,0.74,0.02
ECG200,Discords,3,20,80,1,2,False,1,True,20,0.79,5.25,12.0,0.44,0.02
ECG200,Discords,3,20,20,1,1,False,1,True,20,0.74,4.37,12.02,0.7,0.02
ECG200,Discords,3,20,20,1,3,False,1,True,20,0.75,5.11,13.24,0.7,0.02
ECG200,Discords,3,20,20,1,4,False,1,True,20,0.8,5.55,15.34,0.72,0.02
ECG200,Discords,3,20,20,1,5,False,1,True,20,0.79,6.03,17.38,0.73,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,5,0.74,2.76,4.6,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,10,0.72,3.36,6.34,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.77,11.79,0.58,0.01
ECG200,Discords,3,20,20,1,2,False,1,True,40,0.71,7.47,23.56,0.87,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,80,0.7,12.92,39.56,0.71,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,160,0.7,23.77,48.07,0.75,0.02
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.49,0.42,0.33,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.7,0.42,0.29,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.64,0.41,0.23,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.49,0.41,0.28,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.61,0.41,0.25,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.65,0.42,0.23,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.67,0.41,0.3,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.69,0.43,0.38,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.67,0.41,0.34,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.66,0.41,0.33,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.6,1.06,1.02,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.67,1.02,0.88,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.66,1.02,1.06,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.66,1.03,0.98,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.68,1.02,1.02,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.74,1.03,0.9,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.75,1.04,0.94,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.68,1.02,0.89,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.56,1.51,2.43,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.66,1.47,2.23,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.75,1.46,2.53,0.29,0.02
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.63,1.46,1.52,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.69,1.46,1.6,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.76,1.47,3.44,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.67,1.51,1.66,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.67,1.97,3.15,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.69,1.94,4.33,0.44,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.6,1.93,3.09,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.74,1.96,3.3,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.73,1.95,3.13,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.65,1.95,3.05,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.7,2.42,4.54,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.66,2.38,5.76,0.56,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.68,2.38,4.93,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.72,2.39,5.01,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.61,2.38,5.79,0.56,0.02
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.66,2.89,7.23,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.68,2.87,5.73,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.72,2.91,6.19,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.79,2.86,6.76,0.44,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.71,3.81,9.32,0.6,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.7,3.39,7.68,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.68,3.31,9.17,0.7,0.02
ECG200,Discords,3,20,20,1,2,False,0.8,True,20,0.65,3.85,8.79,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,0.8,True,20,0.74,3.77,9.69,0.57,0.02
ECG200,Discords,3,20,20,1,2,False,0.9,True,20,0.76,4.26,11.41,0.56,0.01
ECG200,Discords,3,20,20,1,2,False,0.9,True,20,0.73,4.23,11.23,0.56,0.02
