Algorithm,DatasetName,Accuracy,Time,,,
TSCMP,Adiac,0.05,115.96,,,
ShapeletTransformation,Adiac,0.56,1486.55,,,
Decision Tree with Shapelet,Adiac,0.03,24.75,,,
KNN,Adiac,0.26,0.01,,,
Decision tree classifier,Adiac,0.18,0.16,,,
LearningShapelets,Adiac,0.1,131.78,,,
TSCMP,BirdChicken,0.55,3.19,,,
ShapeletTransformation,BirdChicken,0.9,43.69,,,
Decision Tree with Shapelet,BirdChicken,0.5,2.47,,,
KNN,BirdChicken,0.45,0.01,,,
Decision tree classifier,BirdChicken,0.5,0.0,,,
LearningShapelets,BirdChicken,0.7,61.27,,,
TSCMP,Coffee,0.89,3.91,,,
ShapeletTransformation,Coffee,0.96,23.57,,,
Decision Tree with Shapelet,Coffee,0.54,2.35,,,
KNN,Coffee,0.89,0.0,,,
Decision tree classifier,Coffee,0.54,0.0,,,
LearningShapelets,Coffee,0.75,45.12,,,
TSCMP,Earthquakes,0.75,1295.48,,,
ShapeletTransformation,Earthquakes,0.68,5587.41,,,
Decision Tree with Shapelet,Earthquakes,0.75,1081.24,,,
KNN,Earthquakes,0.74,0.02,,,
Decision tree classifier,Earthquakes,0.68,0.07,,,
LearningShapelets,Earthquakes,0.73,493.71,,,
TSCMP,FaceFour,0.44,3.83,,,
ShapeletTransformation,FaceFour,0.67,33.36,,,
Decision Tree with Shapelet,FaceFour,0.16,2.27,,,
KNN,FaceFour,0.68,0.0,,,
Decision tree classifier,FaceFour,0.16,0.0,,,
LearningShapelets,FaceFour,0.59,53.64,,,
TSCMP,Fish,0.53,58.26,,,
ShapeletTransformation,Fish,0.78,1559.21,,,
Decision Tree with Shapelet,Fish,0.12,19.52,,,
KNN,Fish,0.75,0.01,,,
Decision tree classifier,Fish,0.48,0.05,,,
LearningShapelets,Fish,0.38,212.64,,,
TSCMP,MedicalImages,0.13,107.55,,,
ShapeletTransformation,MedicalImages,0.5,134.53,,,
Decision Tree with Shapelet,MedicalImages,0.11,25.45,,,
KNN,MedicalImages,0.63,0.01,,,
Decision tree classifier,MedicalImages,0.57,0.03,,,
LearningShapelets,MedicalImages,0.56,72.25,,,
TSCMP,OliveOil,0.37,5.77,,,
ShapeletTransformation,OliveOil,0.83,109.0,,,
Decision Tree with Shapelet,OliveOil,0.4,4.08,,,
KNN,OliveOil,0.83,0.0,,,
Decision tree classifier,OliveOil,0.4,0.0,,,
LearningShapelets,OliveOil,0.63,75.26,,,
TSCMP,Plane,0.93,26.57,,,
ShapeletTransformation,Plane,0.96,58.92,,,
Decision Tree with Shapelet,Plane,0.14,6.14,,,
KNN,Plane,0.97,0.0,,,
Decision tree classifier,Plane,0.56,0.01,,,
LearningShapelets,Plane,0.63,43.87,,,
TSCMP,Strawberry,0.84,143.69,,,
ShapeletTransformation,Strawberry,0.89,3177.95,,,
Decision Tree with Shapelet,Strawberry,0.39,46.68,,,
KNN,Strawberry,0.94,0.02,,,
Decision tree classifier,Strawberry,0.88,0.06,,,
LearningShapelets,Strawberry,0.89,247.72,,,
TSCMP,Symbols,0.33,4.64,,,
ShapeletTransformation,Symbols,0.62,58.12,,,
Decision Tree with Shapelet,Symbols,0.17,2.6,,,
KNN,Symbols,0.76,0.0,,,
Decision tree classifier,Symbols,0.17,0.0,,,
LearningShapelets,Symbols,0.64,47.76,,,
TSCMP,Trace,0.98,24.11,,,
ShapeletTransformation,Trace,0.95,179.35,,,
Decision Tree with Shapelet,Trace,0.26,7.96,,,
KNN,Trace,0.74,0.0,,,
Decision tree classifier,Trace,0.73,0.01,,,
LearningShapelets,Trace,0.89,63.23,,,
TSCMP,TwoLeadECG,0.69,2.44,,,
ShapeletTransformation,TwoLeadECG,0.93,1.59,,,
Decision Tree with Shapelet,TwoLeadECG,0.5,1.17,,,
KNN,TwoLeadECG,0.58,0.0,,,
Decision tree classifier,TwoLeadECG,0.5,0.0,,,
LearningShapelets,TwoLeadECG,0.88,23.18,,,
TSCMP,Wafer,0.95,234.04,,,
ShapeletTransformation,Wafer,0.99,2464.82,,,
Decision Tree with Shapelet,Wafer,0.51,67.07,,,
KNN,Wafer,0.99,0.03,,,
Decision tree classifier,Wafer,0.97,0.06,,,
LearningShapelets,Wafer,0.93,222.02,,,
TSCMP,Wine,0.46,11.6,,,
ShapeletTransformation,Wine,0.59,40.96,,,
Decision Tree with Shapelet,Wine,0.5,4.19,,,
KNN,Wine,0.72,0.0,,,
Decision tree classifier,Wine,0.74,0.0,,,
LearningShapelets,Wine,0.69,45.19,,,
TSCMP,WordSynonyms,0.06,81.66,,,
ShapeletTransformation,WordSynonyms,0.35,1504.22,,,
Decision Tree with Shapelet,WordSynonyms,0.12,21.09,,,
KNN,WordSynonyms,0.58,0.01,,,
Decision tree classifier,WordSynonyms,0.28,0.12,,,
LearningShapelets,WordSynonyms,0.25,153.4,,,
TSCMP,Worms,0.18,67.43,,,
ShapeletTransformation,Worms,0.61,6211.45,,,
Decision Tree with Shapelet,Worms,0.18,36.2,,,
KNN,Worms,0.35,0.02,,,
Decision tree classifier,Worms,0.29,0.08,,,
LearningShapelets,Worms,0.44,671.04,,,
TSCMP,WormsTwoClass,0.69,66.32,,,
ShapeletTransformation,WormsTwoClass,0.75,5972.4,,,
Decision Tree with Shapelet,WormsTwoClass,0.51,36.18,,,
KNN,WormsTwoClass,0.61,0.02,,,
Decision tree classifier,WormsTwoClass,0.52,0.06,,,
LearningShapelets,WormsTwoClass,0.65,708.29,,,
TSCMP,Yoga,0.62,90.07,,,
ShapeletTransformation,Yoga,0.78,3248.59,,,
Decision Tree with Shapelet,Yoga,0.54,31.59,,,
KNN,Yoga,0.79,0.02,,,
Decision tree classifier,Yoga,0.6,0.06,,,
LearningShapelets,Yoga,0.62,294.24,,,
TSCMP,ArrowHead,0.58,7.05,,,
ShapeletTransformation,ArrowHead,0.62,31.21,,,
Decision Tree with Shapelet,ArrowHead,0.39,2.8,,,
KNN,ArrowHead,0.64,0.0,,,
Decision tree classifier,ArrowHead,0.5,0.0,,,
LearningShapelets,ArrowHead,0.6,34.87,,,
TSCMP,ECG200,0.82,19.1,,,
ShapeletTransformation,ECG200,0.89,9.92,,,
Decision Tree with Shapelet,ECG200,0.76,6.19,,,
KNN,ECG200,0.85,0.0,,,
Decision tree classifier,ECG200,0.75,0.0,,,
LearningShapelets,ECG200,0.62,32.89,,,
TSCMP,ECG5000,0.91,175.95,,,
ShapeletTransformation,ECG5000,0.89,559.29,,,
Decision Tree with Shapelet,ECG5000,0.42,76.19,,,
KNN,ECG5000,0.87,0.01,,,
Decision tree classifier,ECG5000,0.9,0.04,,,
LearningShapelets,ECG5000,0.91,114.47,,,
TSCMP,GunPoint,0.84,8.72,,,
ShapeletTransformation,GunPoint,0.8,15.18,,,
Decision Tree with Shapelet,GunPoint,0.75,2.98,,,
KNN,GunPoint,0.85,0.0,,,
Decision tree classifier,GunPoint,0.63,0.0,,,
LearningShapelets,GunPoint,0.66,34.71,,,
TSCMP,PhalangesOutlinesCorrect,0.65,483.52,,,
ShapeletTransformation,PhalangesOutlinesCorrect,0.71,406.55,,,
Decision Tree with Shapelet,PhalangesOutlinesCorrect,0.65,96.77,,,
KNN,PhalangesOutlinesCorrect,0.66,0.02,,,
Decision tree classifier,PhalangesOutlinesCorrect,0.69,0.08,,,
LearningShapelets,PhalangesOutlinesCorrect,0.67,204.15,,,
TSCMP,ElectricDevices,0.26,3767.9,,,
Decision Tree with Shapelet,ElectricDevices,0.1,1023.34,,,
KNN,ElectricDevices,0.53,0.21,,,
Decision tree classifier,ElectricDevices,0.47,0.84,,,
LearningShapelets,ElectricDevices,0.55,904.26,,,
,,,,,,
,,,,,,
Parametri utilizzati,,,,,,
Candidates,Max depth,Min samples,Window size,Remove candi,k,NumCluster(Medoids)
Discords,3,18,70,1,2,20
